,bbox_west,bbox_south,bbox_east,bbox_north
Sydney_FarWest_2021_1_GM,150.5674711,-34.15149311,150.74974,-33.94894495
Sydney_FarWest_2021_2_GM,150.5727625,-33.96815918,150.8206466,-33.49067572
Sydney_FarWest_2021_3_GM,150.658692,-34.15669216,150.8596614,-33.68492648
Tamworth_2021_2_GM,150.8156323,-31.20755081,151.0111684,-30.98159324
TheHills_2021_1_GM,150.8617403,-33.7884766,151.053126,-33.36922401
TheHills_2021_1_GM_CIR,150.8617403,-33.7884766,151.053126,-33.36922401
Tweed_2021_2_GM,153.3419925,-28.42974087,153.5997044,-28.15046888
Tweed_2021_4_GM,153.341998,-28.43812775,153.59971,-28.1504565
WaggaWagga_2021_1_GM,147.2119662,-35.23460021,147.4973367,-35.02725265
Wingham_2021_1_GM,152.3464635,-32.004378,152.4616852,-31.79818033
WollongongKiama_2021_2_GM,150.6653193,-34.78832516,151.1801375,-34.06279798
Yamba_2021_1_GM,153.2911067,-29.47682519,153.3747679,-29.36186002
YassRegional_2021_1_GM,148.7161829,-35.32244464,149.4370554,-34.53371591
AlburyWodonga_2022_1_GM,146.6777027,-36.27298975,147.0951388,-35.95104932
Armidale_2022_1_GM,151.5631836,-30.59588821,151.7582073,-30.43365859
ARTC_I2S_2022_1_GM,147.770699,-34.8015961,147.8848616,-34.45748318
BallinaByron_2022_3_GM,153.1855273,-28.91847008,153.5757953,-28.40131275
BallinaByron_2022_4_GM,153.4443924,-28.9298643,153.643901,-28.40256139
BallinaByronLismore_2022_3_GM,153.2077711,-28.88890805,153.6426546,-28.62367053
BallinaByronLismore_2022_3_GM_CIR,153.2077711,-28.88890805,153.6426546,-28.62367053
BallinaByronLismore_2022_4_GM,153.4446886,-28.90781012,153.6094241,-28.41186666
BallinaByronLismore_2022_4_GM_CIR,153.4446886,-28.90781012,153.6094241,-28.41186666
Barraba_2022_1_GM,150.5796521,-30.41163067,150.6340129,-30.35532281
Barraba_2022_1_GM_CIR,150.5796521,-30.41163067,150.6340129,-30.35532281
Bathurst_2022_2_GM,149.4828169,-33.47964895,149.6892051,-33.34825701
BrokenHill_2022_3_GM,141.38205,-32.02658944,141.5671707,-31.87247256
BrokenHill_2022_3_GM_CIR,141.38205,-32.02658944,141.5671707,-31.87247256
CentralCoast_2022_1_GM,151.2551559,-33.58364834,151.6790532,-33.0673521
CentralCoast_2022_2_GM,151.1547422,-33.54227304,151.4535064,-33.08226049
CentralCoast_2022_2_GM_CIR,151.1547422,-33.54227304,151.4535064,-33.08226049
CentralCoast_2022_3_GM,151.1703433,-33.57348011,151.5649798,-33.08803513
CentralCoast_2022_3_GM_CIR,151.1703433,-33.57348011,151.5649798,-33.08803513
CoffsHarbour_2022_1_GM,153.0153017,-30.40463718,153.2552653,-29.96016963
Corowa_2022_2_GM,146.3245275,-36.10439295,146.5084282,-35.94261855
Deniliquin_2022_2_GM,144.8773046,-35.58462878,145.0468754,-35.48566882
Dubbo_2022_1_GM,148.5335826,-32.33175814,148.6975644,-32.14258833
Goulburn_2022_1_GM,149.6499128,-34.82102528,150.2645823,-34.56838181
Goulburn_2022_1_GM_CIR,149.6499128,-34.82102528,150.2645823,-34.56838181
Grafton_2022_1_GM,152.8681383,-29.76903609,153.0037344,-29.60015571
Hat_Head_2022_1_GM,153.0380902,-31.06664026,153.0611498,-31.04509396
Hawkesbury_2022_2_GM,150.4146991,-33.70441602,150.9361768,-32.96948947
Humula_2022_1_GM,147.7415896,-35.5087007,147.7880646,-35.46566403
Humula_2022_1_GM_CIR,147.7415896,-35.5087007,147.7880646,-35.46566403
Katoomba_2022_2_GM,150.2098431,-33.76908326,150.6319867,-33.56137519
Kempsey_2022_1_GM,152.7319878,-31.21114759,153.0974584,-30.84931732
Kempsey_2022_1_GM_CIR,152.7319878,-31.21114759,153.0974584,-30.84931732
Kiama_2022_1_GM,150.7322408,-34.76805733,150.9107352,-34.57559701
Kiama_2022_1_GM_CIR,150.7322408,-34.76805733,150.9107352,-34.57559701
Lithgow_2022_1_GM,149.9428232,-33.54185025,150.2231045,-33.284658
M0043_2022_1_GM,151.2632723,-33.10732293,151.4672571,-32.57347642
Maitland_2022_2_GM,151.4625429,-33.10895543,151.7973402,-32.53462571
Manilla_2022_1_GM,150.6944226,-30.78572327,150.7508612,-30.71380796
Manilla_2022_1_GM_CIR,150.6944226,-30.78572327,150.7508612,-30.71380796
Musswellbrook_2022_1_GM,150.8450819,-32.33047478,150.9431776,-32.20481455
Musswellbrook_2022_1_GM_CIR,150.8450819,-32.33047478,150.9431776,-32.20481455
Newcastle_2022_3_GM,151.7918547,-32.94231637,151.9109761,-32.53284874
Newcastle_2022_4_GM,151.6053061,-33.1138597,151.7955752,-32.66800222
Newcastle_Maitland_2022_3_GM,151.7900066,-32.91165249,151.9109741,-32.53281922
Nowra_2022_1_GM,150.7066243,-34.98546206,150.8413111,-34.74846543
Nowra_2022_1_GM_CIR,150.7066243,-34.98546206,150.8413111,-34.74846543
Nowra_2022_2_GM,150.571325,-34.9839746,150.7130842,-34.74810463
Nowra_2022_2_GM_CIR,150.571325,-34.9839746,150.7130842,-34.74810463
NSW_ARTC_A21_North_2022_1_GM,147.2695176,-35.17516229,147.8081835,-34.77601078
NSW_ARTC_A2I_South_2022_1_GM,146.9055615,-36.10232362,147.2729924,-35.1751545
Nundle_2022_1_GM,151.0996879,-31.48091624,151.1552233,-31.44478047
Nundle_2022_1_GM_CIR,151.0996879,-31.48091624,151.1552233,-31.44478047
Orange_2022_2_GM,149.0818442,-33.38882432,149.1936248,-33.18102748
Orange_2022_3_GM,148.9888602,-33.40891745,149.0706391,-33.19779567
Orange_2022_4_GM,149.0649335,-33.45969414,149.2548546,-33.19593393
Parkes_2022_2_GM,148.0965755,-33.21201767,148.2640123,-33.04638833
PortMacquarie_2022_1_GM,152.6688008,-31.69871786,152.9472992,-31.3745637
PortStephens_2022_1_GM,151.9074621,-32.84294527,152.2373384,-32.58778921
PtMacquarie_2022_1_GM,152.64064,-31.50820791,152.941144,-31.46678311
PtMacquarie_2022_1_GM_CIR,152.64064,-31.50820791,152.941144,-31.46678311
